id	inchi	name	inchi_key
4674	InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-2	hydrogenphosphate	NBIIXXVUZAFLBC-UHFFFAOYSA-L
34307	InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/p-2/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	NADH(2-)	BOPGDPNILDQYTO-NNYOXOHSSA-L
35584	InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h1,3,5H,2H2,(H2,6,7,8)/p-2/t3-/m0/s1	D-glyceraldehyde 3-phosphate(2-)	LXJXRIRHZLFYRP-VKHMYHEASA-L
314	InChI=1S/p+1	hydron	GPRLSGONYQIRFK-UHFFFAOYSA-N
34029	InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p-1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	NAD(1-)	BAWFJGJZGIEFAR-NNYOXOHSSA-M
34072	InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/p-4/t2-/m1/s1	3-phosphonato-D-glyceroyl phosphate(4-)	LJQLQCAXBUHEAZ-UWTATZPHSA-J
2552	InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/p-1/t2-,3-,4+,5-/m1/s1	D-gluconate	RGHNJXZEOKUKBD-SQOUGZDYSA-M
34595	InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/p-3/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	NADP(3-)	XJLXINKUBYWONI-NNYOXOHSSA-K
1412	InChI=1S/C6H10O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-4,7-10H,1H2,(H,12,13)/p-1/t2-,3-,4+/m1/s1	2-dehydro-D-gluconate	VBUYCZFBVCCYFD-JJYYJPOSSA-M
314	InChI=1S/p+1	hydron	GPRLSGONYQIRFK-UHFFFAOYSA-N
34195	InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/p-4/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	NADPH(4-)	ACFIXJIJDZMPPO-NNYOXOHSSA-J
3945	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1	acetate	QTBSBXVTEAMEQO-UHFFFAOYSA-M
313	InChI=1S/H2O/h1H2	water	XLYOFNOQVPJJNP-UHFFFAOYSA-N
314	InChI=1S/p+1	hydron	GPRLSGONYQIRFK-UHFFFAOYSA-N
27765	InChI=1S/C19H40O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-22-18-19(21)17-20/h19-21H,2-18H2,1H3/t19-/m0/s1	1-O-hexadecyl-sn-glycerol	OOWQBDFWEXAXPB-IBGZPJMESA-N
47118	InChI=1S/C21H42O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24-19-21(18-22)25-20(2)23/h21-22H,3-19H2,1-2H3/t21-/m0/s1	1-O-palmityl-2-acetyl-sn-glycerol	QTEHGUUSIIWOOW-NRFANRHFSA-N
