id	time	chemical_id	source	source_details	user_id	change_type	change_column
4674	2023-02-24 19:57:27.872279	4674	chebi	ChEBI_complete.sdf.gz accessed Dec 31, 2022		create	
20307	2023-02-24 19:57:27.872279	34307	chebi	ChEBI_complete.sdf.gz accessed Dec 31, 2022		create	
21584	2023-02-24 19:57:27.872279	35584	chebi	ChEBI_complete.sdf.gz accessed Dec 31, 2022		create	
314	2023-02-24 19:57:27.872279	314	chebi	ChEBI_complete.sdf.gz accessed Dec 31, 2022		create	
20029	2023-02-24 19:57:27.872279	34029	chebi	ChEBI_complete.sdf.gz accessed Dec 31, 2022		create	
20072	2023-02-24 19:57:27.872279	34072	chebi	ChEBI_complete.sdf.gz accessed Dec 31, 2022		create	
2552	2023-02-24 19:57:27.872279	2552	chebi	ChEBI_complete.sdf.gz accessed Dec 31, 2022		create	
20595	2023-02-24 19:57:27.872279	34595	chebi	ChEBI_complete.sdf.gz accessed Dec 31, 2022		create	
1412	2023-02-24 19:57:27.872279	1412	chebi	ChEBI_complete.sdf.gz accessed Dec 31, 2022		create	
314	2023-02-24 19:57:27.872279	314	chebi	ChEBI_complete.sdf.gz accessed Dec 31, 2022		create	
20195	2023-02-24 19:57:27.872279	34195	chebi	ChEBI_complete.sdf.gz accessed Dec 31, 2022		create	
